sdss_id,teff,logg,fe_h,mg_h,v_macro,snr,g_mag,bp_mag,rp_mag,plx,e_plx,gaia_dr3_source_id
60576043,5519.2373,4.169875,-0.6945074,-0.32151648,19.636066,87.59422,12.481074,12.792231,12.000348,1.9593226,0.030053722,1332309029998183424
60576160,5000.445,4.5191965,-0.64673835,-0.2568839,6.1629705,73.767265,12.807902,13.265267,12.181903,4.7161508,0.09973718,1332326759623145216
60576172,5705.493,4.4482417,-0.03777265,-0.1103243,2.2533672,120.15075,12.17605,12.492067,11.695792,3.0607517,0.0089513445,1332328542033184384
60576175,5531.096,4.237795,-0.16351365,-0.20758697,5.222393,90.15431,12.699749,13.014673,12.22034,1.7126507,0.010588319,1332328816911092736
60576181,5775.149,4.4684877,-0.08893628,0.013590712,0.19195965,85.11512,11.509059,11.8440075,11.005806,4.228927,0.012162701,1332329675904549504
60576187,5714.5054,4.109103,-0.062173497,-0.06407166,9.44997,174.79547,12.355003,12.606608,11.816197,1.4937503,0.012689525,1332330328739577856
60576248,4805.2363,4.534406,-0.005145572,-0.05672951,16.772917,162.90466,12.459862,13.002181,11.759866,5.5699077,0.0092223305,1332340091201720064
60576257,5790.6367,4.3140626,-0.10930257,-0.08186678,5.6659894,198.39696,11.849132,12.0210495,11.200277,2.4829972,0.056819975,1332341912267869824
60576264,5579.794,4.1089997,-0.37908837,-0.19714741,0.2950961,80.72068,12.12569,12.439516,11.646921,2.1669266,0.009509761,1332344729766353536
60576289,5787.5044,4.383139,-0.33614108,-0.3540583,8.300326,123.71604,12.4498625,12.751664,11.984133,1.992003,0.012088204,1332347611687972736
60576315,6125.6304,4.4662557,-0.07782681,-0.19125372,7.9871945,117.84094,12.386782,12.652234,11.967078,2.106747,0.011177033,1332352014030942976
60576330,5526.2563,4.4941163,-0.13811846,-0.060917452,3.252294,452.49088,10.569086,10.931416,10.038741,7.9374504,0.009542195,1332355278206096000
60576340,4086.1216,4.7134657,0.19112273,0.13355272,2.0379903,87.35069,13.973143,14.830124,13.064923,5.513953,0.0123683605,1332356893113801472
60576342,5871.4727,4.230941,0.22056459,0.07650193,3.6898901,71.76405,12.160816,12.4663925,11.70368,1.8569311,0.0111175515,1332357786467408896
60576376,5778.881,4.349188,-0.097980246,-0.15433496,1.510459,275.25497,10.166662,10.468178,9.699623,6.4795675,0.018591935,1332362764332592768
60576381,5984.865,4.3658757,-0.32649845,-0.36231497,5.0543017,445.3922,9.884362,10.157877,9.442711,6.522264,0.017621001,1332363455822334208
60576389,4857.6216,4.958272,-1.4248141,-1.7340711,3.3808513,84.72258,13.948733,15.462231,12.749875,21.116817,0.013743135,1332365002011741056
60576404,5872.377,4.430704,-0.04988397,-0.060425594,2.4965737,178.17062,11.378368,11.670933,10.901972,3.328944,0.033865795,1332367235394756480
