label,a_t,a_n,da,boot,n_t,n_n,ess,e_t,e_n
K1 + epochs (fiducial),-0.19698996655518386,-0.11772575250836104,-0.07926421404682282,0.1890642936878293,131,178,122.44198241585369,0.42310332034872933,0.44529140014214647
period + epochs,-0.19698996655518386,-0.13093645484949823,-0.06605351170568563,0.16568498290240877,131,178,144.16347782513813,0.42310332034872933,0.4417240762279681
period + epochs + K1,-0.19698996655518386,-0.1441471571906353,-0.05284280936454855,0.19827297759380516,131,178,83.22848379142357,0.42310332034872933,0.43810596503874577
"period + epochs, P>15d",0.001170568561873031,-0.0648829431438126,0.06605351170568563,0.23442545203113585,116,151,123.55707238715715,0.47527784741372103,0.45907362599377816
observed only (no fitted vars),-0.11772575250836104,-0.17056856187290959,0.05284280936454855,0.18564236749560298,129,198,102.99554051976013,0.44529140014214647,0.4307129798903108
confident detections only,-0.0648829431438126,-0.1441471571906353,0.07926421404682271,0.24226520429504345,101,134,100.10263206367539,0.45907362599377816,0.43810596503874577
