sdss_id,twin,P50,K1,n_ep,loglike,method
54795180,False,44.63768934028159,13.95317803999268,9,-30.82419;-38.97918;-41.18099;-43.58447;-38.80445;-36.55983;-30.44289;-46.80729;-32.28174;-45.46360;-43.61817;-33.26703;-43.38705;-29.69166;-32.88660;-29.85320;-22.43935;-11.21906;-6.43979;-8.73242;-4.91281;-10.68329;-9.48446;0.00000;-18.53187;-17.63727;-17.18728;-8.46528;-10.07128;-25.94976;-40.95774;-47.60816;-52.07281;-28.46854;-40.88383;-47.65561,twovel
55744630,True,139.94267180427076,5.263283974345753,16,-22.07931;-23.25484;-18.20830;-21.76791;-14.31940;-17.25349;-19.27357;-20.86094;-16.93761;-16.42779;-19.78960;-21.33045;-17.64546;-18.94554;-22.67521;-19.06013;-17.15426;-19.82716;-19.46531;-19.47714;-17.45164;-8.27828;-12.85585;-10.79606;-7.11704;-9.31292;-5.72702;-1.71282;0.00000;-4.78981;-1.60849;-2.28329;-7.16855;-2.28920;-2.20053;-2.15405,twovel
55746613,True,278.0109359039324,54.15543877858652,16,-265.63890;-234.69030;-265.05261;-238.30857;-226.14056;-235.13548;-226.34745;-254.14388;-239.62919;-206.32205;-230.40138;-235.64809;-228.10913;-247.72975;-257.41975;-208.55773;-235.63145;-163.36452;-139.88058;-113.14696;-63.39775;-89.39928;-67.55746;-18.24399;-70.09463;-88.48964;-106.56907;-101.24982;-40.16204;-64.81364;-61.09424;-104.81814;-53.44018;-43.93201;0.00000;-22.68995,twovel
55746683,False,50.736814177042014,18.354196504210712,16,-106.89551;-90.63039;-96.74727;-91.33990;-99.77560;-97.34756;-92.59042;-103.83598;-102.59408;-105.66613;-92.37586;-100.40521;-99.67923;-78.11804;-94.87027;-89.04624;-89.55408;-64.57364;-87.10877;-79.56822;-88.17565;-57.86894;-50.85167;-46.69685;-65.42216;-36.94224;-67.93660;-56.22355;-35.80099;-61.59665;-57.17396;-12.66575;-47.41464;0.00000;-51.55558;-34.57721,twovel
55746684,False,66.00849333679395,45.425485649825816,12,-243.73357;-232.48020;-215.53122;-206.80713;-246.69750;-207.76996;-245.70467;-209.93573;-233.43558;-221.51581;-209.18303;-233.83733;-218.70513;-220.01504;-212.13506;-225.48676;-195.91652;-148.31172;-110.61014;-124.68603;-104.63874;-50.34887;-26.58016;-87.74940;-87.13348;-52.79902;-53.92699;-50.12780;-48.96151;-26.95333;0.00000;-6.95614;-54.96483;-51.14566;-54.61080;-66.37725,twovel
55747073,True,182.50355571598303,45.96752928173215,13,-270.64233;-522.30892;-546.63388;-475.50441;-112.54754;-22.54578;-473.75329;-20.09453;-507.06899;-390.85401;-513.40089;-63.82166;-462.71921;-229.80391;0.00000;-396.50311;-374.18953;-465.41546;-494.55318;-473.23100;-364.25932;-331.94514;-236.38032;-332.92552;-205.11453;-243.35505;-163.58006;-30.57201;-54.06399;-248.17242;-134.79726;-228.26558;-174.37370;-194.70353;-87.40796;-94.98837,twovel
55747301,False,19.961536510225574,50.49795766856829,11,-110.43368;-151.38685;-115.54305;-153.84050;-143.84284;-170.36413;-154.06411;-151.71812;-174.24267;-139.38271;-97.70583;-143.68522;-138.00421;-105.86784;-135.72892;-82.75546;-112.76273;-99.29567;-110.85395;-73.60655;-0.74924;-81.70967;-81.38284;-52.59912;-36.93471;0.00000;-57.86358;-65.01705;-79.18320;-85.34112;-62.47365;-57.53036;-57.26287;-47.21845;-68.15413;-63.37924,twovel
55748317,True,157.67865647808236,27.17832450283732,16,-57.97481;-79.97048;-15.26041;-25.99069;-76.78261;-125.61075;-65.73166;-60.02946;-89.44825;-71.30040;0.00000;-120.39690;-79.17676;-34.17639;-95.00231;-96.86085;-88.55056;-89.83622;-60.12675;-58.84784;-56.81860;-164.94777;-134.37240;-127.97064;-133.00630;-41.18893;-159.30330;-102.20410;-154.89030;-155.37999;-174.22246;-185.05601;-177.50953;-184.57152;-149.20699;-168.24803,twovel
55748550,True,11.457193754632549,15.256500008986414,16,-6.31145;-14.30443;-20.30014;0.00000;-25.06439;-10.95306;-22.07778;-13.32785;-29.66382;-52.53235;-58.43536;-43.26077;-14.11827;-25.79899;-21.02039;-38.57939;-15.72233;-19.02110;-39.91720;-4.97912;-14.36935;-23.85227;-55.69389;-4.18359;-21.49547;-53.62633;-60.88821;-18.01204;-24.72651;-26.76487;-80.65222;-69.84698;-14.07475;-73.89488;-71.26653;-8.44182,twovel
55748684,True,77.86660441724436,3.1837298879300784,16,-3.09802;-3.23556;-3.00286;-2.98329;-3.09648;-2.79924;-2.93944;-3.01326;-3.24283;-2.99540;-2.98180;-2.97714;-3.02409;-2.94384;-3.25427;-2.93692;-2.99674;-2.85891;-2.58626;-2.26633;-2.27499;-1.74386;-1.54247;-1.16908;-0.69701;-0.78880;-0.60464;-0.32307;-0.41014;-0.17029;-0.29838;-0.60153;-0.48003;-0.10791;-0.44086;0.00000,twovel
55748795,False,11.67247508022554,11.791589622435389,16,-1.07488;0.00000;-13.61706;-19.47868;-17.92392;-18.26795;-1.58612;-17.46423;-14.11353;-7.98047;-6.83270;-15.94609;-17.83965;-15.33026;-7.13216;-18.84515;-22.73469;-16.42687;-16.00561;-19.94368;-10.13733;-13.63855;-8.07643;-9.71261;-0.92304;-14.23682;-18.19734;-3.80380;-16.18968;-8.80871;-16.87317;-21.46150;-12.19402;-21.17375;-15.43975;-16.92309,twovel
55749495,False,53.57819185751614,20.31568891086305,12,-5.58172;-4.16601;-32.81270;-47.70596;-33.92903;-14.35997;-31.65610;-14.78476;-52.29664;0.00000;-15.26805;-0.62447;-38.01112;-30.41904;-9.37669;-40.94127;-20.14457;-23.62991;-10.36863;-33.46622;-30.02455;-34.33686;-18.98399;-40.10477;-71.55872;-78.39469;-54.68017;-52.62114;-69.74043;-37.66683;-69.13219;-99.19515;-16.55595;-23.07490;-70.37785;-79.47988,twovel
55760457,False,80.77492581780939,2.114568476792961,15,-1.26444;-1.26094;-1.26489;-1.26403;-1.25170;-1.25666;-1.25941;-1.26665;-1.26693;-1.26805;-1.25853;-1.25990;-1.26018;-1.25466;-1.25621;-1.26007;-1.25066;-1.26066;-1.25331;-1.25370;-1.25782;-1.24191;-1.22815;-1.24150;-1.23887;-1.22297;-1.20716;-1.17454;-1.13131;-1.08751;-1.01652;-0.92461;-0.78000;-0.59642;-0.38271;0.00000,twovel
55764438,False,12.648068945291492,24.47393503757184,8,-420.89368;-434.58516;-426.35941;-438.12645;-414.72655;-424.90300;-461.46839;-444.92263;-470.41736;-430.41057;-468.56828;-433.02385;-438.75036;-445.21413;-395.67105;-328.54961;-333.42899;-289.44842;-272.46390;-307.96454;-134.89544;-173.99777;-135.89434;-129.22999;-69.09136;-87.35623;-35.43126;-37.95052;-15.86616;-5.25390;0.00000;-8.58553;-6.11906;-4.57327;-7.39979;-22.97324,twovel
55765333,True,49.8374941674591,24.681781461036984,8,-5.68592;-5.11905;-1.48666;-3.85688;-2.37974;-2.10693;-2.56810;-3.82347;-2.32753;-4.08344;-1.20009;-2.81839;0.00000;-3.96166;-3.11242;-3.63866;-1.80697;-0.00973;-4.36080;-2.56117;-2.94146;-3.02803;-5.95548;-5.02660;-3.54095;-4.14044;-4.32583;-3.13113;-4.96027;-6.81049;-5.68612;-6.50467;-7.43930;-1.39293;-4.63833;-1.18980,twovel
55921437,True,48.58071150241485,17.8965280396373,11,-17.44295;-15.32705;-40.82093;-23.68279;-28.10337;-12.77200;-17.99595;-16.55106;-8.57097;-11.48154;-20.60442;-17.27135;-13.59279;-19.46076;-13.11597;-13.10535;-43.85905;-17.85808;-28.87646;-56.06356;-67.65451;-40.41707;-36.43835;-29.53083;0.00000;-62.11758;-93.99602;-68.04848;-58.44118;-55.73545;-88.96155;-4.30532;-77.03893;-37.11466;-38.59449;-74.91475,twovel
55922062,True,396.1086284180912,4.904299595547846,9,-1.99193;-1.79452;-2.02577;-1.89951;-1.90452;-1.80781;-1.80894;-1.90076;-2.18306;-1.79075;-1.81761;-1.96105;-1.80273;-2.04191;-1.94464;-1.66427;-1.59427;-1.56623;-1.33846;-1.08794;-0.77423;-0.58086;-0.68808;-0.56439;-0.98242;-0.88420;-1.02386;-0.93252;-1.04991;-0.87727;-0.80635;-0.89106;-0.97554;-0.78073;-0.20299;0.00000,twovel
55936104,True,130.85256169541316,28.0751381616457,16,-232.63099;-191.80163;-236.61525;-233.94522;-228.88619;-228.02363;-213.70946;-231.14243;-243.26555;-215.27232;-245.96249;-224.21925;-211.93572;-219.35736;-228.88437;-209.76477;-180.31631;-194.02686;-163.07868;-110.25749;-136.43401;-125.45713;-67.21233;-59.02480;-63.59724;-61.04520;-104.97538;-59.62665;-92.66927;-105.72173;0.00000;-58.51743;-24.76841;-73.96408;-45.37720;-52.14713,twovel
55938293,False,59.49093291656123,38.54032833878394,14,-212.55634;-167.26184;-199.66598;-205.59901;-188.55227;-204.82310;-185.47508;-184.10623;-189.45837;-165.11250;-237.92386;-162.40099;-226.56267;-191.91460;-246.68001;-232.23820;-292.25612;-174.13935;-143.69867;-245.15985;-244.93201;-98.55880;-169.09581;0.00000;-241.45107;-77.71129;-212.51837;-177.99656;-250.72388;-314.53173;-250.26802;-345.18452;-272.22890;-328.91823;-439.43170;-390.40775,twovel
55938569,True,81.37365053332485,24.82552649623864,14,-21.71366;-16.35548;-9.94096;-15.14132;-7.06024;-12.10916;-43.55220;-18.71291;-7.57274;-25.04766;-24.10810;-11.21085;-6.19124;-18.50996;-24.15914;0.00000;-41.60393;-11.18747;-14.34745;-50.28210;-15.62777;-60.40842;-34.06903;-25.17070;-34.42517;-38.33802;-46.65121;-59.33424;-49.38498;-15.95019;-43.18084;-84.73037;-79.37613;-45.78267;-60.99167;-35.12967,twovel
55938734,True,270.84190538895706,14.273096815744625,10,-4.68247;-4.10678;-7.67264;-6.00000;-5.87319;-6.08025;-5.84072;-7.99845;-6.27190;-6.79305;-4.72241;-6.49426;-8.00347;-7.31913;-5.18607;-4.35763;-3.79822;-2.13235;-7.33914;-4.23891;-9.18790;-0.82360;-4.63787;-10.23572;-12.73120;-12.73805;-4.53548;-7.99411;-2.21439;-7.74580;-2.96164;-15.24994;-17.96558;-12.47378;-12.04280;0.00000,twovel
