sdss_id,n_visits_rv,dv_rad_max,v_rad_std,v_rad_median,mjd_span
61463121,25,0.457,0.124,-28.622,1558.00
61463382,9,0.231,0.079,-17.454,1551.00
61463387,3,1.026,0.462,26.316,31.00
61463618,13,0.919,0.240,45.611,968.00
61463990,14,0.729,0.208,-33.856,1350.00
61464159,13,1.232,0.371,-18.050,1096.00
61464271,6,0.936,0.412,6.450,485.00
61464341,5,1.063,0.346,92.197,1096.00
61464453,17,101.030,40.678,31.522,1504.00
61464671,6,10.483,4.145,8.235,893.00
61465237,24,41.653,12.972,17.639,1558.00
61465316,22,13.566,2.792,-27.703,1502.00
61465375,3,0.204,0.083,0.569,31.00
61465548,13,0.616,0.165,-10.627,1201.00
61465612,6,2.303,0.856,-18.626,37.00
61465619,3,0.283,0.118,-10.177,31.00
61465712,18,9.619,3.039,36.035,1201.00
61465741,9,0.389,0.108,-24.299,1201.00
61465833,3,0.661,0.285,-15.849,31.00
61465970,1,,,30.605,
61465988,2,14.588,7.294,-9.651,1.00
61466186,6,30.490,10.753,4.685,37.00
61466390,6,34.609,14.970,-20.181,37.00
61466598,5,42.219,14.115,-13.713,235.00
61466734,6,1.921,0.594,-9.803,37.00
61466741,5,94.647,40.071,-10.859,36.00
61466778,6,0.435,0.149,-42.241,37.00
61466799,6,0.243,0.088,-22.965,37.00
61466865,6,1.321,0.502,-0.488,37.00
61467784,3,0.070,0.029,-16.867,31.00
61467795,6,6.597,2.713,38.259,37.00
61468070,6,0.495,0.169,-10.324,672.00
61468106,3,0.067,0.029,27.243,31.00
61468639,5,0.545,0.238,-21.119,1096.00
61469185,2,0.017,0.008,-19.901,1.00
61472376,3,0.137,0.060,-11.628,6.00
61472457,3,35.529,15.673,-11.002,6.00
61472757,3,0.029,0.012,-12.824,6.00
61472772,3,15.749,7.036,-29.435,6.00
61474082,5,14.851,5.452,-2.689,235.00
61474149,8,43.066,14.680,3.050,615.00
61474402,6,94.719,38.972,-8.208,37.00
61474431,3,0.176,0.078,-4.743,37.00
61474455,6,61.439,21.493,85.092,37.00
61474497,6,0.270,0.082,-4.315,37.00
61475054,6,0.194,0.071,-0.370,61.00
61475112,6,58.964,23.616,-24.496,1062.00
61475116,4,0.312,0.116,2.006,18.00
61475201,3,0.114,0.049,2.238,37.00
61475397,9,8.117,3.138,-19.866,1062.00
61475569,9,0.706,0.190,-0.854,1062.00
61475576,5,0.124,0.047,0.903,1042.00
61475666,3,0.422,0.184,-27.951,37.00
61476321,3,0.430,0.200,20.032,37.00
61476701,6,0.353,0.109,-5.539,672.00
61477456,6,48.353,16.272,-41.840,61.00
61477616,10,17.373,6.789,22.090,1062.00
61477737,3,9.714,4.261,-28.103,37.00
61477992,6,48.180,18.040,-45.760,1062.00
61478214,10,1.676,0.457,2.908,1062.00
61478312,6,1.185,0.448,-48.975,1062.00
61478323,10,0.716,0.223,-14.020,1062.00
61478374,10,0.248,0.082,-30.798,1062.00
61478441,6,7.210,2.369,-45.671,1062.00
61478460,6,47.789,17.086,-12.710,1062.00
61479257,6,0.263,0.088,-74.789,1062.00
61480336,4,46.501,16.622,5.417,18.00
61480413,4,0.376,0.187,-21.839,18.00
61481611,3,0.164,0.069,-11.897,6.00
61481787,3,6.454,2.635,40.336,6.00
61483765,7,1.544,0.475,1.495,26.00
61484435,4,0.168,0.068,-0.146,4.00
61485044,4,0.158,0.060,-13.841,4.00
61485098,4,0.761,0.334,6.274,4.00
61485652,4,0.328,0.142,-16.544,4.00
61485893,4,0.108,0.040,-46.794,4.00
61485955,4,0.047,0.018,-12.439,4.00
61486614,4,1.344,0.522,21.118,4.00
61486619,4,8.673,3.396,-42.565,4.00
61486665,4,0.040,0.016,13.644,4.00
61486902,4,8.924,3.553,13.393,4.00
61487023,4,0.128,0.049,-33.925,4.00
61487130,4,16.407,6.124,-6.603,3.00
61487153,4,40.334,15.686,-17.950,3.00
61487194,2,3.547,1.773,-11.360,1.00
61487361,2,0.020,0.010,-32.647,3.00
61487493,2,2.232,1.116,-33.432,1.00
61487556,4,0.139,0.052,-3.679,3.00
61487819,2,0.074,0.037,-39.784,1.00
61488621,3,0.150,0.066,-8.869,11.00
61488733,3,0.177,0.072,11.455,11.00
61488770,3,83.964,34.981,-19.432,11.00
61488796,3,2.251,0.925,-45.202,11.00
61489030,2,0.007,0.004,-14.854,1.00
61489040,2,0.130,0.065,-15.489,1.00
61489109,5,61.547,25.982,-34.568,1155.00
61489138,5,4.978,2.238,66.079,1155.00
61489583,2,2.620,1.310,-1.082,1.00
61489988,5,49.004,16.145,-12.171,1155.00
61490084,5,0.944,0.440,3.214,1155.00
61490089,5,10.177,3.899,-42.813,1155.00
61490233,2,0.052,0.026,13.986,1.00
61490332,3,0.095,0.039,-1.209,11.00
61490463,3,0.121,0.051,-0.553,11.00
61490578,5,31.124,11.601,-15.640,1155.00
61490977,2,0.058,0.029,-29.232,1.00
61491102,2,0.324,0.162,-1.389,1.00
61491305,5,18.954,6.841,-7.426,14.00
61491482,5,33.621,12.600,-18.797,14.00
61492020,2,0.015,0.008,-22.947,1.00
61492720,3,0.149,0.063,-34.434,11.00
61492727,3,16.051,7.168,-25.154,11.00
61492739,3,54.443,23.468,5.613,11.00
61493224,3,0.360,0.160,-7.883,11.00
61494328,9,60.981,21.660,-34.544,1155.00
61494409,8,0.471,0.147,-30.413,1156.00
61494418,7,0.423,0.131,-75.267,60.00
61494573,2,0.119,0.059,-2.137,1.00
61494679,3,40.703,16.932,-51.477,11.00
61495302,5,18.885,6.467,2.552,1155.00
61495360,2,0.707,0.353,-22.756,1.00
61495362,5,7.181,3.391,1.455,1155.00
61495386,5,77.036,28.859,-62.739,1155.00
61495465,5,12.968,6.181,28.924,1155.00
61495516,3,23.359,9.848,-17.147,11.00
61495594,5,0.190,0.082,-11.610,1155.00
61496157,5,41.037,13.790,-26.697,1155.00
61496227,5,0.585,0.220,5.152,1155.00
61496245,2,0.008,0.004,-47.699,1.00
61496469,4,0.243,0.087,-4.901,1156.00
61497226,3,25.575,10.731,25.617,11.00
61497541,3,34.154,14.611,47.250,11.00
61497617,3,77.697,33.510,7.591,11.00
61499171,3,0.161,0.068,-36.292,11.00
61499189,3,0.088,0.037,-4.483,11.00
61499196,3,57.263,25.134,-19.452,11.00
61501022,2,1.324,0.662,-8.664,1.00
61501564,2,8.158,4.079,-46.159,1.00
61501807,2,9.352,4.676,24.711,1.00
61501874,2,0.162,0.081,-9.470,1.00
61501905,2,0.254,0.127,-9.586,1.00
61502378,2,0.023,0.011,-20.644,1.00
61502398,2,0.092,0.046,-21.242,1.00
61502823,2,0.124,0.062,-21.751,1.00
61502865,2,0.021,0.010,3.552,1.00
61502984,2,0.017,0.008,-25.120,1.00
61503466,2,0.035,0.018,7.375,1.00
61503607,2,0.954,0.477,-44.428,1.00
61503666,3,0.108,0.047,-15.820,17.00
61503942,2,0.279,0.139,-16.488,1.00
61504166,2,1.181,0.590,-4.982,1.00
61505406,2,0.101,0.050,-43.811,1.00
61505632,2,0.087,0.043,-3.384,1.00
61505851,5,0.233,0.079,-47.744,17.00
61506094,5,0.232,0.084,-29.079,17.00
61506180,3,25.063,10.632,14.364,17.00
61506211,3,0.015,0.006,-14.163,17.00
61506498,5,0.203,0.075,8.285,17.00
61506881,3,0.095,0.040,-0.647,17.00
61507111,2,0.987,0.494,38.560,1.00
61507274,2,0.030,0.015,15.699,1.00
61507920,5,0.702,0.249,11.054,17.00
61508007,5,0.305,0.100,13.234,17.00
61508075,5,8.007,3.226,-29.141,17.00
61508099,5,0.376,0.147,-42.437,17.00
61508265,3,3.453,1.607,-22.563,17.00
61509466,3,0.089,0.040,-19.802,17.00
61509481,3,0.161,0.074,15.652,707.00
61509494,3,0.120,0.052,-11.648,17.00
61509789,3,0.149,0.062,-10.271,707.00
61509863,3,0.185,0.076,-22.543,707.00
61509936,6,28.471,9.279,-47.632,1783.00
61509967,3,215.196,99.226,95.253,17.00
61510659,3,42.883,18.913,20.141,17.00
61510705,3,3.722,1.672,8.101,17.00
61510813,3,0.151,0.069,-42.343,17.00
61511186,3,34.950,15.137,-54.594,17.00
61511237,3,0.090,0.038,-14.900,17.00
61511471,3,0.990,0.405,-8.141,17.00
61511484,3,2.068,0.929,-1.867,17.00
61511725,3,0.361,0.147,-25.787,17.00
61511748,3,36.775,16.628,7.225,17.00
61511791,3,8.926,4.192,0.197,17.00
61512036,3,0.125,0.052,-5.049,17.00
61512401,3,0.253,0.105,-1.244,17.00
61512658,3,0.079,0.033,-10.399,17.00
61513259,8,1.052,0.354,13.750,1554.00
61513320,5,30.421,12.391,-29.657,76.00
61513621,2,0.106,0.053,-7.717,1.00
61513634,2,11.735,5.868,-6.447,1.00
61513668,6,0.744,0.223,-42.683,1062.00
61518388,3,2.231,1.013,-67.831,707.00
61519245,3,29.900,13.304,-14.490,707.00
61523982,3,0.252,0.118,-14.809,707.00
61526110,3,0.062,0.025,-16.169,707.00
61526530,3,2.628,1.089,15.468,707.00
61527058,3,0.143,0.058,-17.252,17.00
61527173,3,0.113,0.051,-7.233,707.00
61527269,3,40.636,17.012,-77.040,707.00
61527372,3,2.907,1.190,-33.210,707.00
61527960,3,0.300,0.123,-23.687,707.00
61528282,3,1.375,0.574,-8.159,707.00
61528476,3,1.414,0.614,-32.068,707.00
61529183,10,1.527,0.502,-10.806,3262.00
61529234,9,0.349,0.111,-16.368,741.00
61529257,3,19.086,8.207,-23.956,707.00
61529605,5,33.562,14.020,-103.047,76.00
61529830,13,30.741,7.890,-8.849,3320.00
61530075,8,3.101,1.060,-18.578,3024.00
61530438,11,0.142,0.051,-26.924,3024.00
61530612,5,0.151,0.050,-21.785,76.00
61530752,8,10.580,4.464,-7.248,3024.00
61530899,8,0.194,0.057,-19.682,3024.00
61530932,3,22.135,9.140,-30.922,58.00
61531017,5,5.142,2.185,-25.539,76.00
61531242,5,2.098,0.668,9.847,2579.00
61531319,7,1.247,0.414,-38.912,3024.00
61531465,5,3.070,1.221,-27.038,76.00
61531788,8,2.390,0.999,-24.500,3024.00
61531989,8,8.808,3.500,-99.891,3024.00
61532154,3,56.486,25.391,17.443,58.00
61532489,5,0.139,0.045,-29.922,76.00
61532552,3,38.418,15.751,-10.675,58.00
61533433,3,6.021,2.536,-30.872,707.00
61534210,9,33.163,10.303,-18.306,741.00
61534337,5,0.293,0.102,-33.646,426.00
61534448,6,3.627,1.270,-27.157,707.00
61534562,3,25.827,10.575,-8.214,707.00
61534894,6,22.496,7.513,8.146,445.00
61536428,3,2.406,1.003,-4.449,58.00
61536718,3,55.375,25.846,-30.942,58.00
61536748,3,0.215,0.097,-34.397,58.00
61537019,3,0.280,0.116,-28.988,58.00
61537588,6,0.446,0.143,3.594,445.00
61537651,3,5.834,2.392,-6.054,58.00
61537975,3,0.427,0.189,2.893,58.00
61538110,3,19.247,7.858,-83.391,58.00
61542843,1,,,-47.195,
61543007,1,,,-27.209,
61543067,2,0.006,0.003,8.475,3.00
61543142,2,0.172,0.086,-29.064,3.00
61543222,2,0.210,0.105,-12.138,3.00
61543343,1,,,-35.980,
61544093,1,,,-18.529,
61544134,1,,,-30.236,
61544387,1,,,-17.493,
61544393,1,,,-7.010,
61548067,1,,,-32.134,
61548972,1,,,-20.005,
61549125,1,,,4.343,
61549151,1,,,-44.095,
61549450,1,,,-26.982,
61551541,4,40.083,18.818,7.026,7.00
61551714,8,35.038,11.097,-54.046,779.00
61552031,3,3.783,1.696,4.425,3.00
61552054,1,,,3.195,
61552084,4,0.388,0.163,-15.513,775.00
