sdss_id,teff_seed,logg_seed,feh_seed,verdict,prefers_binary,delta_chi2,f_imp,min_fimp_required,best_q,best_rv1,best_rv2,teff_single,logg_single,feh_single,error,sb2,gaia_dr3_source_id,ra,dec,teff_floor
54465345,4817.63,4.6222167,-0.1029846,BINARY,True,1587.943301622101,0.2510145036286245,0.14,0.9661765048161742,6.542588627850942,-6.818535805769492,5020.523014571001,4.686147242607732,-0.0209545113570466,,True,427988959864467840,7.993572,58.393149,0
54512466,5660.8237,4.1011496,-1.3305147,BINARY,True,8930.71842411939,0.2577958333534272,0.14,0.5954582300785962,31.17639751677474,0.768941418130839,6999.472811327079,4.605191498897066,-0.6099355007689735,,True,430892357759527424,7.674844,63.504413,0
54735119,5938.448,4.5781975,-0.010979952,BINARY,True,3255.975371370032,0.2631041675417738,0.14,0.8539365331405044,4.291089515787341,-7.903552911702655,6082.28125961554,4.72643740975272,0.0337311034918975,,True,454799417035621504,40.434442,56.493477,0
54806413,4470.059,4.6143527,-1.2320362,BINARY,True,37407.7267247724,0.4376444453392497,0.14,0.9287046177054652,0.7760218390694218,0.1532408047706294,4995.03177474202,4.3275872664625386,-0.999249330222832,,True,459159805276412032,34.955274,58.760666,0
54863817,4873.4937,4.660609,-0.0929783,BINARY,True,2883.533352873179,0.1921267673420185,0.14,0.9996659164634472,-5.9454409599777645,6.474889714972055,4705.09389365138,4.906893172311152,-0.1199296614813924,,True,464540982676439808,42.784647,59.794132,0
54890388,5351.81,4.735191,-0.5072765,BINARY,True,13143.10502458079,0.2865773556077236,0.14,0.999864847189706,21.713499915567446,-15.945141365010397,5532.992445120534,4.891642085056333,-0.4980757702076702,,True,466335183796498176,45.503829,61.677101,0
54980108,4717.309,4.9816666,-0.7579163,BINARY,True,12128.91216288032,0.3036563971374828,0.14,0.921946720904185,-0.7254001641005672,20.94854417125928,4463.47637067453,4.669181854942291,-0.8415285025559851,,True,475444702049471360,62.663141,61.822477,0
55142416,6744.755,4.155972,-0.036550198,BINARY,True,7981.931358130561,0.3033239718322397,0.14,0.946748640334292,18.157063687372272,-16.758004730134605,6564.031920733476,4.2059497320128605,-0.1720484882155316,,True,500070433915352448,67.458255,70.755094,0
55254759,5205.98,4.3958454,-0.26032418,BINARY,True,20370.981213917687,0.3081085524896035,0.14,0.6487127596301602,0.1546680053186956,0.0110464096321122,5401.5522577141655,4.7943397531642535,-0.2510534389297295,,True,510294448955702400,21.338724,60.84091,0
55304308,6030.255,4.543497,-0.0388172,BINARY,True,3673.5515648765463,0.3355125010710058,0.14,0.6130232959756293,-0.5191926507072021,3.384044740192961,6047.326061721728,4.493127257657419,-0.0343324669761239,,True,513704064564721408,34.899672,61.555821,0
55391980,4988.6284,4.4713764,-0.11366205,BINARY,True,847.1493152100302,0.1801823660866113,0.15,0.7504251535534471,-0.7487987256717425,1.3095506660255063,5328.464287209968,4.769234291856794,-0.0713861443658106,,True,520891950031835648,36.514495,69.048416,0
55450074,4053.1765,4.8852,-0.4462076,BINARY,True,762.3776992694548,0.1950137905911931,0.15,0.9580205319901566,-0.3339655502824277,0.2798339446265726,4221.72990964397,4.999999798138815,-0.4926837386208219,,True,525864976705116416,15.258387,65.991549,1
55760720,4370.897,4.7244225,-0.48577902,BINARY,True,6534.485673580297,0.2527369627946473,0.14,0.9945128637138247,0.0808931371961643,0.0513145419968988,4200.045250399874,4.990612258215839,-0.1642872344895957,,True,576773808175184768,134.271428,1.058982,0
55817829,6100.0063,4.3901396,-0.20993443,BINARY,True,1689.4019421596497,0.2191705783965634,0.14,0.6291913172445411,-0.2244609585204233,1.2583933891642052,5997.005059975155,4.2419341784271465,-0.2049032665890114,,True,585634458850656128,141.094517,5.769453,0
55868169,4099.2207,4.6832433,0.26374456,BINARY,True,2654.20527502181,0.2517934536308324,0.14,0.9966410401768572,-0.0099952382408054,-0.0128679699309364,4200.531247915344,4.80837513014635,0.294787816561632,,True,594702719655715456,129.943486,6.084617,1
55921063,6851.629,4.2241635,-0.31533733,BINARY,True,9193.949911025513,0.3018095304423353,0.14,0.907214158595786,40.001573555444,-2.926641768919069,6999.384157005543,4.308453171904476,-0.2026007192751709,,True,602164654101245696,129.547124,11.966141,0
55936305,5082.305,4.8293285,-0.29298148,BINARY,True,6617.192302512936,0.184235467710302,0.14,0.999695837398648,13.874905580071982,-10.932965448548076,5100.915611920785,4.915761712156825,-0.4500792356640783,,True,604636429255599360,133.618336,11.219097,0
55938260,5131.854,4.518319,0.02263506,BINARY,True,5885.1694459485225,0.2179589666421308,0.14,0.8672771802032062,-4.90894391747348,10.5593900425142,5430.647472748266,4.806478337535679,0.1689352168981529,,True,604896566835439872,132.904195,11.614331,0
55939889,5436.9404,4.6208096,-0.121837914,BINARY,True,1862.928085038264,0.2461321025676039,0.14,0.8464362988499149,-0.2473870735460951,1.6938196277737083,5009.102765296847,4.163367954206107,-0.2429152653892771,,True,604992327426113536,132.373112,12.184535,0
55958219,4032.4272,4.942607,0.06345211,SINGLE,False,1567.226454698888,0.1352277143201544,0.14,0.9740092225107831,0.0092993336527881,-0.0108051049843187,4200.14422792342,4.812718166987045,-0.2247116368691975,,True,607987736401416704,132.207005,12.129855,1
55959565,6241.006,4.037163,-0.023179391,BINARY,True,1292.2752808471478,0.2866463218477755,0.14,0.9993486937297053,2.9433643481053275,-7.534273886095219,6264.468502979313,4.076644454284111,-0.0197676430006766,,True,608149987381550080,132.598759,12.937394,0
55979524,6951.063,4.3173695,-0.20185757,BINARY,True,6516.902191812278,0.2833847332402888,0.14,0.9796845683308822,20.95703215756335,-15.097606083242043,6607.277369152968,4.164763838363472,-0.2842296654170974,,True,611046685124866304,136.780156,17.239979,0
56028546,5780.4355,4.77226,0.10055743,BINARY,True,2673.293150418922,0.2751406126692375,0.14,0.738846264561531,-1.7947187781426903,18.41412090789204,5515.75785963362,4.640881376618745,0.0077984014942141,,True,619950392847259648,148.361775,16.438531,0
56052518,4952.0986,4.9760256,-1.1832057,BINARY,True,76007.10300525415,0.3313115932532489,0.14,0.6759156863382076,-2.094672633154272,35.67461249976461,5404.788132848893,4.976802777412669,-0.9916617443314684,,True,624938048173568128,153.603519,18.963267,0
56108176,6270.3867,4.283372,-0.18288769,BINARY,True,3310.530663283069,0.2402754789540286,0.14,0.5847887154200796,0.4664017842366399,-24.353375974980757,6359.865481634717,4.328680530160455,-0.1710780177064448,,True,635409251456055168,137.132557,18.528428,0
