sdss_id,teff_seed,logg_seed,feh_seed,verdict,prefers_binary,delta_chi2,f_imp,min_fimp_required,best_q,best_rv1,best_rv2,teff_single,logg_single,feh_single,vmacro_single,vmacro_1,vmacro_2,labels_single,labels_binary,error
54384153,5145.5654,4.7011375,-0.65804815,BINARY,True,3566.96111845869,0.26522312018289546,0.14,0.6813413641137369,1.7036365597563687,-7.289279518331892,5298.423764317471,4.908947432336762,-0.682950217426656,7.84454665630243,0.3018678135788658,5.9035342284380095,5298.42;4.90895;-0.68295;-0.3;7.84455;0.390436,5514.95;4.83736;-0.565346;-0.299999;0.681341;0.301868;5.90353;1.70364;-7.28928,
54394612,6759.27,4.37137,-0.1860775,BINARY,True,3717.8408533121183,0.3745853191919518,0.14,0.9999719964419097,14.175736793449545,-14.885795060390942,6647.972627476745,4.218359607363857,-0.2348041411175496,32.15343323761544,29.21636230059638,29.057901363960664,6647.97;4.21836;-0.234804;-0.283345;32.1534;1.30809,6531.44;4.11255;-0.14644;-0.279792;0.999972;29.2164;29.0579;14.1757;-14.8858,
54422124,5104.2217,4.5728683,-0.14278331,BINARY,True,6363.426390460121,0.2904492984396359,0.14,0.9204467111195638,-0.6407141249511215,22.12587282940624,4710.908853807374,4.243297514214551,-0.20617530148821295,15.143931970142178,9.497857045997046,24.029724867366962,4710.91;4.2433;-0.206175;-0.296415;15.1439;0.200754,4647.47;4.17047;-0.189702;-0.269298;0.920447;9.49786;24.0297;-0.640714;22.1259,
54471875,5020.4956,4.038794,0.17290288,BINARY,True,16856.173780815705,0.2976712610060468,0.14,0.999798190897767,13.499672044210707,-14.031812085447765,5682.756560471784,4.948374929513737,0.3504213087834285,31.503965181411218,23.55893678705224,21.599729777365994,5682.76;4.94837;0.350421;-0.25009;31.504;2.32939,5354.62;4.33425;0.354288;0.497554;0.999798;23.5589;21.5997;13.4997;-14.0318,
54471900,5040.669,4.6934433,-0.19998752,SINGLE,False,310.49293616843715,0.10457043636927058,0.225,0.9699422310422213,0.747785448121394,-0.780072630475092,4941.327580486096,4.566995126420236,-0.20799667422418744,5.151247626734855,6.295759528001175,0.053948522056273804,4941.33;4.567;-0.207997;0.0936952;5.15125;0.0543883,4985.09;4.5258;-0.200115;0.0867661;0.969942;6.29576;0.0539485;0.747785;-0.780073,
54486173,6257.182,4.7694144,-1.4903388,SINGLE,False,2626.6726593419444,0.0559522892443452,0.14,0.996115544834918,26.206457573927402,39.76651283147605,6998.860101155771,4.857177781624991,-0.9615637917885819,24.733174593667858,24.843939879309463,23.412349834130644,6998.86;4.85718;-0.961564;-0.299999;24.7332;2.02904,7000;4.82212;-0.939334;-0.3;0.996116;24.8439;23.4123;26.2065;39.7665,
54500046,4449.2354,4.012984,-0.022433447,BINARY,True,2979.524929845891,0.2070205188726683,0.14,0.9810337638834173,0.0016720010514546524,-0.07821078783087321,4200.016185191295,4.56616256418782,0.25588395949741805,8.323777820089683,1.2273305879019316,4.990845847935712,4200.02;4.56616;0.255884;0.412978;8.32378;0.0599811,4203.3;4.75809;0.490883;0.468517;0.981034;1.22733;4.99085;0.001672;-0.0782108,
54515767,4956.248,4.7569976,-0.11105712,SINGLE,False,3841.1739002958057,0.1243045252964332,0.14,0.9392047717804104,1.0516386983603163,-7.165620058105486,4777.893547453228,4.352225511148449,-0.15932194246004164,11.56241619927572,2.496986067412276,26.776927443541688,4777.89;4.35223;-0.159322;-0.231669;11.5624;-0.169613,4760.22;4.29293;-0.0721658;-0.254542;0.939205;2.49699;26.7769;1.05164;-7.16562,
54541648,4853.6094,4.729049,0.1852155,SINGLE,False,217.80467273157774,0.07095340648544886,,0.8715341480658424,0.019108486292182973,-0.12104785481544497,4808.779888861733,4.77960834937385,0.18566542569843153,6.2373236331824,6.487477178134493,3.728262517960293,4808.78;4.77961;0.185665;0.0316699;6.23732;-0.0251522,5065.21;4.82438;0.245412;0.0802784;0.871534;6.48748;3.72826;0.0191085;-0.121048,
54542120,4808.97,4.44354,-0.0202296,BINARY,True,3421.042314498147,0.2989319349691361,0.14,0.8746495532302132,-1.7281044574251065,8.735379426321437,4721.5707760243195,4.430186942642643,-0.02942403042735778,12.204020412348989,4.066950145842867,5.813974053318882,4721.57;4.43019;-0.029424;0.0615719;12.204;-0.0540974,4778.18;4.35332;0.0570991;0.118348;0.87465;4.06695;5.81397;-1.7281;8.73538,
54564279,5482.665,4.755003,0.035364304,BINARY,True,1140.2814083138,0.1595935579967831,0.14,0.80896040903759,1.8307961071829495,-2.379672894571793,5299.446599924248,4.640756316394112,-0.018709089488360104,14.430024913726179,12.785381756499918,8.661650269939548,5299.45;4.64076;-0.0187091;-0.0692463;14.43;0.0608804,5617.58;4.61217;-0.00570466;-0.0659407;0.80896;12.7854;8.66165;1.8308;-2.37967,
54611303,4044.6826,4.9929132,0.2188569,BINARY,True,4013.8486956728593,0.21077339776693246,0.14,0.9899498574385942,-2.256332603497518,2.864110711162072,4200.34336464885,4.855049773043975,-0.03720669283326753,12.62794288819466,9.925425655208638,9.793594455266119,4200.34;4.85505;-0.0372067;-0.0447688;12.6279;-0.231991,4202.66;4.93873;0.106589;-0.000698499;0.98995;9.92543;9.79359;-2.25633;2.86411,
54613915,4851.509,4.7243185,-1.4186387,BINARY,True,44320.87917208945,0.28382368791824336,0.14,0.6482925002503768,-1.8072677080750348,38.405178171557544,5635.2523436065785,4.866105399450543,-0.9515800702043021,34.3331677631985,20.682601208174084,30.19820490265365,5635.25;4.86611;-0.95158;-0.299999;34.3332;1.46514,4808.18;4.77678;-1;-0.3;0.648293;20.6826;30.1982;-1.80727;38.4052,
54626661,5536.9053,4.525328,-0.13109456,BINARY,True,1622.3309889246848,0.195403141897651,0.14,0.763641753267371,0.1920287300008281,-0.448148420045575,5347.955157440022,4.44893023453797,-0.23618867758868306,7.130198752459598,3.3462002547758027,11.646851229339422,5347.96;4.44893;-0.236189;-0.293192;7.1302;0.0282761,5592.57;4.38495;-0.187599;-0.199482;0.763642;3.3462;11.6469;0.192029;-0.448148,
