sdss_id,status,n_ep,n_kept,P16,P50,P84,e16,e50,e84,K1,v_sys,method
54795180,ok,9,17,44.394989320184386,44.63768934028159,44.851840223789225,0.29087793152399466,0.3663512832577623,0.44150528546794965,13.95317803999268,-52.74823038852312,twovel
55077325,ok,8,276,936.7832617601308,2509.510020513877,4141.921655963079,0.13539477052187873,0.5003070231110888,0.8082328056044568,26.159763734304573,10.507432637008751,twovel
55302315,ok,9,258,3184.175862434447,4315.09994407009,4810.572161117798,0.35301284215777645,0.6260685773851045,0.8491611962064126,38.662119062385536,-52.58360151246421,twovel
55744630,ok,16,116,4.223417549588932,139.94267180427076,980.7290974777341,0.31658926636535817,0.6579231187514427,0.8632817168906595,5.263283974345753,-26.23061741088017,twovel
55745770,ok,16,13,0.5737333107334803,2.0343720576013475,11.120054860975488,0.1288558393282307,0.2166453834293461,0.4327367674555664,24.013221521354787,-21.08977091614411,twovel
55745774,unconstrained,16,7,,,,,,,,,twovel
55745788,ok,16,77,17.62640398463421,546.1368667032876,1045.9741425812738,0.12365615047237259,0.3268072969922063,0.6640943900775542,7.533340127989056,-14.62210770504181,twovel
55745838,unconstrained,13,6,,,,,,,,,twovel
55746127,ok,16,14,235.09734146482646,466.36127287930395,590.746968231006,0.21901299363702234,0.398016745612418,0.5924929078896004,53.231131665139785,-40.67881709973823,twovel
55746613,ok,16,9,57.14973915947262,278.01093590393236,530.9854398966286,0.5556713187120921,0.7946242425328324,0.9031360916531371,54.155438778586515,-26.554554688043673,twovel
55746683,ok,16,17,3.1478983075200513,50.736814177042014,150.84900658373118,0.4559188504930008,0.6200888330231386,0.7823289982261492,18.354196504210712,-31.35982442955865,twovel
55746684,ok,12,16,15.57314332816322,66.00849333679395,1795.6748881264257,0.3440676955214457,0.7202828309355616,0.8554440402309449,45.425485649825816,7.868843430209129,twovel
55747024,unconstrained,16,7,,,,,,,,,twovel
55747073,ok,13,12,120.29661393297589,182.50355571598303,608.6063891950462,0.16597887398762395,0.8623951436044995,0.9035566638249304,45.96752928173215,3.4795936371405016,twovel
55747212,unconstrained,9,6,,,,,,,,,twovel
55747301,ok,11,8,7.5434655503238615,19.961536510225578,121.42481398087449,0.38569401167181666,0.5865594599893114,0.6718457953667003,50.49795766856829,-86.29377026668965,twovel
55747811,ok,16,73,30.1259313914263,1610.7757876650223,2811.2886888184835,0.1718454059401136,0.4637025363596259,0.7063424814506066,18.49820440114065,7.043540628034172,twovel
55748317,ok,16,9,50.77587487847245,157.67865647808236,158.45102608295787,0.12281067979048313,0.42533894273686534,0.47874001734854504,27.178324502837317,-56.4569473490435,twovel
55748490,unconstrained,16,4,,,,,,,,,twovel
55748550,ok,16,44,2.052176630574248,11.457193754632547,43.134524194779644,0.10814662495403887,0.31050857317759895,0.5584894584905878,15.256500008986414,-23.24384404838566,twovel
55748684,ok,16,944,4.292438375261785,77.86660441724436,1064.5783728370552,0.17600934825847245,0.514475537428251,0.8187075954221364,3.1837298879300784,-28.85009468350468,twovel
55748795,ok,16,8,5.346679791503865,11.672475080225539,35.62827258550274,0.12962308993886923,0.4480259235962579,0.8074396680093028,11.791589622435389,-20.208153788061843,twovel
55749495,ok,12,37,2.3642367128742237,53.57819185751614,747.857922421738,0.11285665374472241,0.2522589429445564,0.4259308542311424,20.31568891086305,37.201452523753815,twovel
55749590,ok,16,12,1079.8409154255744,1084.7237288200572,1088.6142908885452,0.05732803234674804,0.10100449026328881,0.15460559837815813,6.433222139942027,-81.42933351073621,twovel
55749760,unconstrained,15,3,,,,,,,,,twovel
55750028,unconstrained,16,2,,,,,,,,,twovel
55760457,ok,15,339,3.6129919563500446,80.77492581780939,1592.2158056079109,0.10403175601711886,0.35591570361817615,0.7236006470270424,2.114568476792961,-26.605651146356262,twovel
