sdss_id,gaia_dr3_source_id,in_kovalev22,in_kovalev24,in_kounkel21,kounkel_sbn,n_visits,prefers_binary
56782177,739903366226369920,0,0,1,2,5,True
62377156,1632357128925548672,0,1,1,2,3,True
70110584,2499039709159101056,0,0,1,2,8,True
94900553,5180466583227280512,0,0,1,2,2,True
57294863,838315326269938432,0,0,1,2,3,True
57788080,900171651424801152,0,0,1,2,7,True
61007562,1390309299154622336,0,0,1,2,5,True
77424018,3417093027424764160,0,0,1,2,3,True
94864488,5172460695468009344,0,0,1,2,3,True
115045080,66867525496948480,1,1,1,2,3,True
57969708,929483325751362048,0,0,1,2,2,True
71586320,2782683442492092160,0,0,1,3,3,True
91222295,4655328388029221632,0,0,1,3,8,True
56446644,681011560642622720,0,0,1,2,8,True
62372686,1631594377091989888,0,0,1,2,5,True
67247750,2087264293802301824,0,0,1,2,8,True
79748056,3794811761607388672,0,0,1,2,3,True
80811949,4004335418950143488,0,0,1,2,2,True
61009638,1390678494544167552,0,0,1,2,3,True
75789910,3209572852067565568,0,0,1,2,8,True
58717811,1030395540876562944,0,0,1,2,2,True
60363888,1304777671155777408,0,1,1,2,4,True
62367525,1630819977308450688,0,0,1,2,3,True
77455332,3421240896383884800,0,0,1,2,3,True
109044174,6242365911092965504,0,0,1,2,2,True
54393897,422590873168873600,0,0,1,2,2,False
61063707,1400253488475453568,0,0,1,2,6,True
61933774,1551033194485425920,0,0,1,2,5,True
70378936,2549999672220209792,0,0,1,3,3,True
71757273,2814138644800395520,0,0,1,2,7,True
114886806,20402129743735808,0,0,1,2,3,True
57073126,796022469772190336,0,0,1,2,6,True
61701707,1506446451788552832,0,0,1,2,2,True
67238919,2086635987327389184,0,0,1,2,2,True
70107624,2498375230474057984,0,0,1,2,8,True
80004736,3843806721294673280,0,0,1,2,2,True
91225173,4655370646194951808,0,0,1,2,7,True
56705951,724181586899612928,0,0,1,2,3,True
57961280,927937309323747840,0,0,1,2,6,True
60084730,1262000381003024384,0,0,1,2,8,True
62354441,1628644696632754304,0,0,1,3,5,True
80360552,3914827716386032640,0,0,1,2,8,True
98370031,5483255554187692928,0,0,1,2,5,True
55960752,608310756598141184,0,0,1,2,8,True
58705416,1028343091968351744,0,1,1,2,2,True
60358001,1304007909937693824,0,1,1,2,2,True
71571006,2779562822332990464,0,0,1,2,5,True
75950346,3230695496931233408,0,0,1,2,3,True
79710442,3787808319214631680,0,0,1,2,5,True
59509165,1166507207719434496,0,0,1,2,2,True
69248122,2305136164972284160,0,1,0,,2,True
80819480,4005788286127273216,0,0,1,2,3,True
67155388,2080256277265187072,0,0,1,3,2,True
80357132,3914124716139010560,0,0,1,2,8,True
114198489,6841024287026409344,0,0,1,2,3,True
58406882,982438107847520512,0,0,1,2,2,True
90381321,4571164243238587648,0,0,1,2,2,True
106538160,6011395248657800448,0,0,1,2,2,True
111582276,6623368371101065728,0,0,1,2,6,True
115400035,145212711134828672,0,0,1,2,4,True
63221673,1766916633241003776,0,0,1,2,3,True
79045225,3664911437811886592,0,0,1,2,5,True
79803309,3805537222657757440,0,0,1,3,7,True
80034840,3849626844361920128,0,0,1,2,8,True
89173653,4451016759380616704,0,0,1,2,5,True
117355948,403490706920854656,0,0,1,2,3,True
57212118,822723220595397504,0,0,1,2,2,True
57902002,918987731350468096,0,0,1,2,2,True
59864422,1223484316883686912,0,0,1,2,3,True
61138591,1411882988603006336,0,0,1,2,4,True
66945049,2067694807893820416,1,0,0,,7,True
67678282,2128081635759799552,0,0,1,2,8,True
75859510,3219401489585844480,0,0,1,2,2,True
80600625,3961188349293312640,0,0,1,2,6,True
116321795,257333691395678720,0,0,1,2,3,True
57563796,877082212183847296,0,0,1,2,3,True
57903685,919237492288638592,0,1,1,2,2,True
69797994,2435354041468335616,0,0,1,2,8,False
105608007,5966075063007621888,0,0,1,2,6,True
58447310,988780606312731520,0,0,1,3,2,False
67047530,2073203567321780096,0,0,1,2,8,True
84266547,4097438696349077504,0,0,1,2,3,True
106919940,6035918652931056000,0,0,1,2,2,True
61408074,1454768683733992320,0,0,1,2,4,True
106541706,6011847938211325568,0,0,1,3,5,True
59420653,1153046848932653440,0,0,1,2,3,True
60495230,1322431116317042944,0,0,1,3,3,True
70573984,2590520317835842688,0,0,1,2,5,True
70861215,2650435141679678848,0,0,1,2,2,True
79954143,3835174760447492224,0,0,1,2,3,True
57926748,922445695419548800,0,0,1,2,2,True
59967525,1241373096188924416,0,0,1,2,3,True
67057773,2073774591808198784,0,0,1,2,8,True
70291271,2534604031234743936,0,0,1,2,4,True
70573767,2590477883558953856,0,0,1,2,6,True
78727627,3610297149072122624,0,0,1,2,5,True
79954079,3835161669386895616,0,0,1,2,6,True
90420767,4575596374608955648,0,0,1,2,4,True
67696807,2129542336954108928,0,0,1,2,4,True
78721011,3608783430798427904,0,0,1,2,2,True
79945009,3833526356294476800,0,0,1,2,5,True
83896497,4087987844161609472,0,0,1,2,4,True
115014288,59306252749168128,0,0,1,2,3,True
55892305,598256611819639040,0,0,1,2,2,True
60483896,1320716707108474880,0,0,1,2,4,True
64783233,1930584917631825792,0,0,1,2,3,True
79945916,3833672419542253696,0,0,1,2,5,True
80160566,3875361944802339712,0,0,1,2,2,True
90391697,4572344534610896128,0,0,1,2,3,True
61155231,1414377505608172032,0,0,1,2,3,True
64674137,1911765642250845440,0,0,1,2,3,True
75860447,3219546178443308416,1,1,1,2,2,True
76163954,3266518139814950784,0,0,1,2,8,True
115004130,56647977231817600,0,0,1,2,2,True
66944933,2067688451340568448,1,0,0,,7,False
67678201,2128076103841686016,0,0,1,2,8,False
79169060,3685276867059680384,0,0,1,2,4,True
80600560,3961173883843525120,0,1,1,2,6,True
96158666,5296835045627355776,0,0,1,2,2,True
56505386,690204100622969216,0,0,1,2,2,True
59589816,1180233137218266240,0,0,1,2,4,True
60181770,1277006618778252032,0,0,1,2,2,True
70731378,2622810947118880896,0,0,1,2,3,True
117359704,403975282311443968,0,0,1,2,3,True
70563980,2588352287064324480,0,0,1,2,5,True
96679951,5331829197903816320,0,0,1,2,2,False
115400072,145218857232329472,0,0,1,2,2,True
69174314,2289245434515822592,0,0,1,2,4,True
78888330,3638574286035924864,0,0,1,3,4,True
91059789,4651227828128687616,0,0,1,2,6,True
60086661,1262301578468882176,0,0,1,2,4,True
61009300,1390614409336893056,0,0,1,2,5,True
70672316,2612319750764406912,0,0,1,2,2,True
75950162,3230672956942868480,0,0,1,2,2,True
76351593,3314258999116827776,0,0,1,2,6,True
77433684,3418391962975219584,0,0,1,2,3,True
80360883,3914908289972537472,0,0,1,2,8,True
114199212,6841183102032452352,0,0,1,2,3,True
56446960,681050116564942848,0,0,1,2,8,True
61285870,1434134767486803328,0,0,1,2,3,True
61459408,1463277628122206976,0,0,1,2,8,True
70108687,2498577162656418688,0,0,1,2,6,True
61700284,1506134431004363008,0,0,1,2,3,True
62368550,1630978955522481152,0,0,1,2,3,True
62889968,1727712962037652864,0,0,1,2,3,True
71586591,2782744224868221184,0,0,1,2,3,True
78962419,3651037628294094592,0,0,1,2,3,True
94889900,5177961655221081600,0,0,1,2,3,True
98387014,5485397304056776448,0,0,1,2,3,True
114732615,6908084948609594112,0,0,1,2,3,True
60356278,1303814361530913920,0,0,1,2,4,True
62045235,1571686180382502912,0,0,1,2,4,True
70339718,2543198127651444480,0,0,1,2,6,True
75949639,3230599706276231552,0,0,1,2,3,True
76351331,3314179666777588736,0,0,1,2,3,True
78904306,3641160985923885440,0,0,1,2,3,True
116822771,335750345288126848,0,0,1,2,3,True
57051151,791921192618804352,0,0,1,2,6,True
67142970,2079205973086244992,0,0,1,2,2,True
98338777,5479656371592923648,0,0,1,2,3,True
108411776,6167927633852670336,0,0,1,2,5,True
58700966,1027579038762185472,0,0,1,2,2,True
60355847,1303757491867236096,0,0,1,2,4,True
67155452,2080242915627430016,0,0,1,2,2,True
60366074,1305081681825015040,0,1,1,2,2,True
114733389,6908146860561531264,0,0,1,2,4,True
115805950,197550564129488512,0,0,1,2,3,True
56776236,738674524543192704,0,0,1,2,6,True
57306766,840604956155474944,0,0,1,2,8,True
61703669,1506827913605643008,0,0,1,2,2,True
61899133,1544736634989286272,0,0,1,2,4,True
70108532,2498548845936384000,0,0,1,2,8,True
70355153,2545782289213902464,0,0,1,2,3,True
114737206,6908461187744361216,0,0,1,2,3,True
56707873,724596888761834240,0,0,1,2,3,True
67161751,2080646092798363136,0,0,1,2,2,True
75950504,3230721958225689088,0,1,1,2,3,True
76351799,3314324321276386816,0,1,1,2,2,True
56587224,703996958596658944,0,0,1,2,4,True
60279996,1292737808376717952,0,0,1,2,5,True
61396256,1452903151798584064,0,0,1,2,3,True
70827095,2643139400992600704,0,0,1,2,3,True
106347957,5997860535410095616,0,0,1,2,4,True
115399047,144978412080723840,0,0,1,2,2,True
60416733,1311736372872536832,0,1,0,,2,False
67952519,2156551389113766144,0,0,1,2,3,True
56578664,702614357084639360,0,0,1,2,3,True
56998995,782293422127831680,0,0,1,2,8,True
62216892,1603873970968835840,0,0,1,2,3,True
67676728,2127962476185944576,0,0,1,2,8,True
75135802,3138119955065659904,0,0,1,3,3,True
96137128,5295088054787313152,0,0,1,2,3,True
