sdss_id,l,b,flagged
54380899,117.96604180811066,-6.663454904961103,False
54381179,118.48804951794067,-6.384747053184736,False
54381610,118.90660433522585,-6.282506065712673,True
54381716,118.78758536245333,-6.318655090971439,False
54382194,118.42288364876089,-6.220348587478954,False
54382690,118.590375750053,-5.635001115662448,False
54383089,120.08154379908363,-6.589407492992478,False
54383257,119.70408658550339,-6.52848636426365,False
54384153,119.46249032860528,-5.916333416510781,True
54384212,119.34138817412006,-6.029113216363632,False
54384337,119.26883457362464,-5.894790486363562,False
54384398,119.25670788131112,-5.712394238836011,False
54384703,119.25761652377275,-5.64624914861218,False
54384717,119.320985655704,-5.588656651488562,False
54384917,120.10067871630632,-5.990985227985413,False
54385169,119.91511062765028,-5.678481243799226,True
54385622,119.96462988354614,-5.258901009205277,True
54385706,119.96877498263117,-5.175960743815903,True
54385938,119.59890099146955,-5.248297202055864,False
54386116,119.51560112941839,-5.147156603989592,False
54386327,119.82280390458219,-5.064192377689821,False
54386397,119.68029077484786,-4.860018129858162,False
54386478,119.52899271440515,-4.8772228151696435,True
54386548,119.65824248934626,-4.853260834972948,False
54386702,118.99979187003711,-5.844317485832917,True
54386765,119.17597845639615,-5.640172698378831,True
54386933,118.92075900239676,-5.481469960539126,False
54387197,119.11587376075975,-5.210105699353213,False
54387226,118.975692486672,-5.363523194153781,False
54387234,118.88924547822322,-5.34505753885691,False
54387384,118.83415268022024,-4.9163892466864985,False
54387618,118.44154730943471,-5.334407732082878,False
54387752,118.48253043177904,-5.125930672148253,True
54387946,118.58738971378716,-4.8946035894663265,False
54388216,118.50900191277292,-4.5787238668866745,False
54388266,118.36478118048613,-4.462030594354912,False
54388467,119.16010630630441,-4.83664875728624,False
54388588,118.89860398664544,-4.739357235360082,True
54388701,119.31802274106977,-4.799472186860343,False
54388920,119.09407751627366,-4.470827997638076,False
54389110,118.73997798856067,-4.629445848560178,False
54389138,118.60067769773121,-4.605131259667659,False
54389693,118.64210426708628,-4.11484746837733,False
54389733,118.48527503916354,-4.04907117425928,False
54389783,118.70769765838317,-3.9910510346490273,False
54389850,118.57259936327667,-3.852679531148668,False
54390292,117.93670697609643,-6.066017416072892,True
54390421,117.85732072434426,-5.7733662106035295,False
54390858,117.24695249450839,-5.645099433159181,False
54391620,117.64988280304573,-5.25254492314103,False
54391776,118.0982374527539,-5.178111947194375,False
54392015,117.71982426090861,-4.895052129919968,False
54392204,117.48955320256546,-5.071038307117641,False
54392424,117.32722495472964,-4.526575658231263,True
54392763,117.35030847492727,-4.500935299150118,False
54393129,116.52591538698628,-5.099823289148156,False
54393138,116.72623531227957,-5.217796976748167,False
54393586,116.45553369793113,-5.189396978340228,False
54393588,116.4426312541226,-5.146716971067735,False
54393637,116.35881867985168,-5.056299472138243,False
54393853,116.10379920164083,-4.821292371465757,True
54393854,116.09577835456086,-4.804631222984324,False
54393880,116.15071970052523,-4.740933591534969,False
54393897,116.28905991049541,-4.784616919645187,True
54394062,116.391524263428,-4.525768771677108,False
54394121,116.45114784455033,-4.476407611050967,True
54394142,116.39928470192697,-4.401826829266941,False
54394188,116.3333889802785,-4.474079087036135,True
54394250,116.15871099313857,-4.252621581691339,True
54394265,116.26594352101847,-4.318595056738613,False
54394371,117.03944277902922,-4.782764372394398,False
54394415,117.01977262925342,-4.69467471639621,False
54394439,117.15611659079276,-4.664603416728816,False
54394490,117.03873290405225,-4.51802914438461,False
54394612,116.87679454905977,-4.387209426713455,True
54394670,116.7349852726799,-4.2369045145289075,True
54394916,116.85839273662523,-4.206789051961997,False
54395003,116.76488631733464,-3.9827030944015593,False
54395162,116.44650222550837,-4.203672964477441,False
54395405,116.35229526807191,-3.923969588052495,False
54395451,116.23779654393084,-3.797883208622254,True
54395716,116.39658636966922,-3.7500073992425134,False
54395765,116.27657579563943,-3.6226945503410195,False
54395855,116.40976557915877,-3.496827122069196,False
54396129,118.07548418428524,-4.65518997196225,False
54396584,117.96372805319966,-4.406849665036215,False
54396709,117.94902133447603,-4.220657029730147,True
54396734,117.90225319191966,-4.049216614475846,False
54397048,117.36686612179707,-4.1881410518152835,False
54397229,117.64464632918514,-4.12027857653242,False
54397282,117.79194572687062,-3.9898573604950927,True
54397291,117.86891184019895,-3.9705799187314508,True
54397382,117.54962804445458,-3.9281845433494467,True
54397488,117.59304831278641,-3.7650304828879344,True
54397535,117.45951894321895,-3.6934365849391666,False
54397630,118.2015756605586,-4.222622124492398,False
54397695,118.29483323557065,-4.0575754062563405,False
54397774,118.24419112440995,-3.876024824860977,False
54397833,118.08033577813167,-3.9658700199658075,False
54397860,118.01939072658956,-3.933718979287649,False
54397866,118.03093388168949,-3.8849708410370467,False
54397987,117.9752701789011,-3.6446619182560043,True
54398010,118.3992746272849,-3.862050295295312,False
54398059,118.20842225036338,-3.754706632230721,False
54398137,118.45383529613204,-3.703193097088843,False
54398175,118.3607909689579,-3.632056070535948,False
54398490,117.69309650139895,-3.569607639447702,False
54398613,117.57192735636004,-3.443290131783395,False
54398617,117.53710250711897,-3.5229651795221812,False
54398691,117.56314042519782,-3.413937358629609,False
54398740,117.93042173425187,-3.4220872337545174,False
54399134,117.20443254596145,-4.009625113786084,False
54399167,117.03504300506565,-3.9641619977355536,False
54399173,117.06197722209515,-3.9601105611215086,False
54399205,117.22158373563867,-3.966271584383008,False
54399573,117.1336970543568,-3.610260849624413,True
54399598,117.134595488755,-3.5049317346634523,False
54399663,117.24858533016965,-3.5055415206831726,True
54399693,117.08551754605344,-3.6105367940414577,True
54399832,117.02334371517422,-3.2627038721061,False
54400114,116.52316779611606,-3.2794768825081744,False
54400117,116.48053214503258,-3.260499883216957,False
54400171,116.55073832638014,-3.2348561560828846,False
54400253,116.3931838507053,-3.0772729282568956,False
54400337,116.86478653913466,-3.192930896916861,False
54400419,116.89592313538768,-2.978927485953972,False
54400542,116.43400228063607,-2.9457996370333603,True
54400657,116.47303161137513,-2.7004301154335795,False
54400692,117.40865597276245,-3.4705894451070893,False
54400770,117.22943017225421,-3.137140587792944,False
54401108,117.50796948143916,-2.9330937615600163,False
54401208,117.54345325570355,-2.8084902374081513,False
54401415,117.13898152375357,-2.576866518970437,False
54401594,116.8863880073527,-2.8061612847408095,False
54401622,116.80527010053625,-2.853644180159043,True
54401854,116.68232942757389,-2.6277285722547363,False
54402019,116.69412808654377,-2.3590363982935214,False
54404067,124.20197884684151,-7.222706865844442,False
54404266,124.41006084008826,-7.280786176771862,False
54405798,122.94438670604302,-7.160819405021089,False
54405967,123.20404977183011,-6.980631016586392,True
54406192,122.97452576111525,-6.782618799090446,False
54408319,122.67098009983698,-6.394103754695402,False
54409841,123.95917018891141,-6.478967636748838,True
54409877,123.84887183237464,-6.428888667313802,False
54412461,123.89798245651393,-4.876006767580963,False
54413407,123.30720206746216,-5.280733869157352,False
54414941,123.66767201182167,-4.8563898020354515,False
54416225,123.07411290311728,-4.282057338677461,False
54420143,121.15860010827815,-6.019263125415288,False
54420368,121.07515194927318,-5.851704960732388,False
54421843,120.85499421391236,-5.1028045173582175,False
54421985,120.54824463912202,-4.971893218895811,False
54422124,120.5737470066272,-4.806454709947218,True
54423212,121.21274791940759,-4.360906694750717,False
54423377,121.07089211140237,-4.7643447170800695,False
54423559,120.70482444833173,-4.606768671600852,False
54423703,120.79089740813777,-4.461184726906143,True
54423798,121.06124727745441,-4.512768476637814,False
54424195,120.70397944255478,-4.017186363084353,False
54424369,122.62270241878105,-5.054620064854434,False
54424370,122.62483696045481,-5.057649090008746,False
54429367,120.91780255285465,-3.8076803399436687,False
54429533,121.05086539709237,-3.6698588981939073,False
54429610,121.23672451685323,-3.5360392105368597,False
54429755,120.83306304183144,-3.4144099884799965,False
54429782,120.98916378734586,-3.445141713170964,False
54429788,120.96915547820055,-3.351503424908105,False
54431158,121.35922956307546,-2.8874663787241617,False
54433236,123.99874691659947,-4.160406965621891,False
54434057,124.47738004651197,-4.243042995665636,False
54434963,124.20873365180294,-3.280668247830105,False
54438751,123.36170059707351,-2.791696126663171,False
54439593,124.9584036731835,-3.290116222696144,False
54439680,124.88868227946473,-3.0574018325540173,False
54440324,124.69492911705862,-3.0804080161444167,False
54440438,124.75884702669444,-2.909440565868134,False
54440561,124.50379490218312,-2.915016594833051,False
54440694,124.55445940293906,-2.6827092404713913,False
54440753,124.40236122825283,-2.625451505204865,False
54441566,125.03791305301515,-2.328480616027446,False
54441853,124.87279667472468,-2.4948065113109545,False
54442037,124.53534264877113,-2.410251140403468,False
54442225,124.4456877386472,-2.205716048446031,False
54442869,124.20530152692031,-3.0004315437204663,False
54442954,124.22745692181974,-2.9022829811013984,False
54443540,124.12478358947402,-2.644129164392217,False
54443778,124.15725266924113,-2.342749592528968,False
54444788,123.30552535473123,-2.226105338537632,False
54445584,124.32680649979434,-2.14174326157398,False
54446027,124.04016680180278,-1.8379725270003529,False
54446189,124.33675751458411,-1.7434051556323786,False
54446286,124.34815286056673,-1.703808198862409,False
54446591,124.11777665562677,-1.3979163776098285,False
54448939,122.55670757927973,-2.9696258392625157,True
54449407,123.09287442677466,-3.0538583505616,False
54449578,123.10425398831124,-2.810330945435843,False
54449655,122.94688213816383,-2.705678880402076,False
54450227,123.11952318520188,-2.432862458451933,False
54450312,123.0832173705994,-2.311026233832412,False
54450638,122.62661713944237,-2.7160014408528785,False
54450824,122.5573758914533,-2.4617863840576195,True
54450930,122.29653647923529,-2.535523887764835,False
54450945,122.37731402208682,-2.502853608402399,False
54451231,122.59431904680332,-2.2498884069750775,False
54451380,122.71450135473773,-2.114484843642973,False
54451440,122.51591020066203,-2.0072866755088783,False
54451800,121.98930573134322,-3.1276559899616583,False
54452307,122.04910596165784,-2.6546667007196105,False
54452582,121.81470209466613,-2.4694543534144375,False
54452978,121.43337854796525,-2.4464183945853057,False
54453252,121.23048718364409,-2.245047861880765,False
54453629,121.47921894401806,-1.9713629241033894,False
54453660,121.29397596242372,-2.125429575696275,False
54453785,121.2071603311802,-1.9781642577148666,False
54453972,122.12151251870672,-2.3077707073574416,False
54454042,121.99122987948972,-2.2267985409493307,False
54454517,122.22035919494124,-1.9358667730150803,False
54454792,121.86034271987047,-1.6283927308827568,True
54454802,121.86645074327885,-1.5699901578304876,False
54454967,121.63556462410051,-1.843381970000899,False
54455353,121.22001517342993,-1.6193832815153058,False
54455367,121.30167471171276,-1.5867722368789228,False
54456630,122.98122548368185,-1.828331692374834,False
54456826,123.12874023437065,-1.7463995292175545,False
54457304,122.6058523214813,-1.8400867021864908,False
54457353,122.57782756454252,-1.7061246161035313,False
54457660,122.5629485801944,-1.6126258888543226,False
54457763,122.46600887051925,-1.3778444810914368,False
54458287,123.21747214693862,-1.3891937141733297,False
54458367,123.33191717551725,-1.3549559870811447,False
54458371,123.30167873240748,-1.3096925853011414,False
54459180,122.62928530878511,-1.0495894401339114,False
54459359,122.91932354189129,-0.7904384936006761,False
54459448,123.03644241690498,-0.6123833497273291,False
54459757,122.19348626243001,-1.5394568321239719,False
54459868,122.35405134474331,-1.3442604050017968,False
54460053,122.01155282502431,-1.1290823396221077,False
54460402,121.97455511845975,-0.9454870041659476,False
54460464,122.11188114758981,-0.8337948773068649,False
54460893,121.5310462616943,-0.9438625138397011,True
54460991,121.44973039528003,-0.9344865371955059,False
54461591,121.48725126349333,-0.3739535313741488,False
54461741,122.41053348165899,-0.8109982294969529,False
54461744,122.42945665902724,-0.8034752477747684,False
54461958,122.16978682830184,-0.6669385461528028,True
54462038,122.07308864820813,-0.46437464553547847,False
54463873,120.14542570786283,-4.872404734484973,False
54463883,120.13268445419915,-4.83546348996846,False
54464010,120.49073372694308,-4.88922338740575,False
