sdss_id,teff1,teff2
54465345,5020.523014571001,4856.898632252945
54512466,6999.472811327079,4556.520148363053
54735119,6082.28125961554,5201.604143180008
54806413,4995.03177474202,4834.165375175739
54863817,4705.09389365138,4705.09389365138
54890388,5532.992445120534,5532.992445120534
54980108,4463.47637067453,4241.293800584864
55142416,6564.031920733476,6141.613358247416
55254759,5401.5522577141655,4008.246484987947
55304308,6047.326061721728,4176.136389674239
55391980,5328.464287209968,4237.835446698948
55450074,4221.72990964397,3945.7356828128704
55760720,4200.045250399874,3953.201963070473
55817829,5997.005059975155,4416.948372330655
55868169,4200.531247915344,4200.531247915344
55921063,6999.384157005543,5941.912208498306
55936305,5100.915611920785,5100.915611920785
55938260,5430.647472748266,4734.293047560148
55939889,5009.102765296847,4518.795640112975
55958219,4200.14422792342,4079.3039256276984
55959565,6264.468502979313,6264.468502979313
55979524,6607.277369152968,6607.277369152968
56028546,5515.75785963362,4316.330045974509
56052518,5404.788132848893,4053.2773085415306
56108176,6359.865481634717,4296.947795623677
56198450,4200.026895622766,4145.0812136172835
56235014,4200.130849630568,4081.3082878273126
56270296,4201.498223803472,4131.693862530309
56280187,4200.26046721034,3947.001456621683
56312504,5647.720560756222,4016.966013185765
56398533,5206.651510116185,4448.211065857196
56407393,6830.532177848007,6572.0872642104705
56410167,5451.121903083386,4190.7323952270235
56429586,4200.044673136047,4200.044673136047
56432230,5509.827695145307,5509.827695145307
56435471,4200.058853773655,4200.058853773655
56441278,5280.264901224843,4535.186269775876
56534048,6048.778921111869,4758.249032351387
56607872,6897.60515086759,6897.60515086759
56610736,4200.001084250335,4090.2146310962517
56613897,4981.749414729992,4590.697892498043
56632331,6739.678206143758,4939.791869801947
56862610,6320.863905224861,6320.863905224861
56948422,6683.579061045534,6683.579061045534
57002391,5245.874499256567,4334.436785964474
57032471,6513.481231300691,6513.481231300691
57050465,5068.656619905857,5068.656619905857
57084365,5597.668296827664,4673.3684518584305
57095650,5083.409918669313,4988.415277671311
57117082,5364.283116590986,4204.277512958935
57135324,5584.026729996063,4897.185603364263
57172538,6666.848066718721,4532.7917766981955
57184082,5065.526814500213,4526.929502862284
57197146,5901.035480861821,5865.982974702356
57202801,4200.1141292313805,4200.1141292313805
57204838,4200.1122417769775,4112.868259696582
57212063,5076.193527603528,4965.509271950097
57215884,5114.212082769778,4185.275232318469
57230266,5746.027018150087,3924.9980780150368
57247817,5307.090240786673,4796.3293831180545
57265573,4200.174250269296,4200.174250269296
57335940,6151.084943470273,5556.417422292377
57467110,5931.727190160171,4045.6058992287167
57534590,5974.918864550009,4018.857929211538
57553548,6989.334808824616,6544.12658565596
57556659,4645.55816679103,4645.55816679103
57583205,4706.040186013116,4706.040186013116
57599028,4522.241424109507,4372.739505678553
57652031,4200.270582466026,4131.4987426364405
57738042,5401.846932296524,4170.330381051812
57779724,6105.035089782304,3887.1375819939267
57794789,5078.367642930135,5078.367642930135
57802499,5796.445862603497,5523.617142621742
57832257,5513.24221817279,5181.966618189408
57834215,5924.582106083541,4411.327873820701
57890987,5305.9873913393485,4196.27689943821
57916555,6487.894675292088,6487.894675292088
57922671,5776.338122927314,4941.522223425157
57940604,4358.142144652388,4154.163738990528
57944878,5809.509833159968,4868.9473275134815
57958344,6115.493814047617,6115.493814047617
57962911,6103.458782962932,4165.959313238525
57987569,5508.8127740519385,4008.2816502525575
58002716,5220.78058991772,4603.513112643072
58361090,6403.567539373867,5467.838746747951
58604110,5630.537371498983,3910.6887290543823
58611147,6211.538221722407,4453.909363804045
58630444,4698.661510625589,4549.929282632747
58640560,4733.150040528383,4536.1809427992475
58717497,6194.599225175566,4595.216872210714
58727622,4200.004144780888,4200.004144780888
58778064,6682.97518658273,6071.380520988547
58795176,6097.470326414956,3971.45767378019
58861423,5779.545647119068,5497.724185080736
58910838,6450.267445107687,6052.059644290843
59073702,4908.762917071381,4458.971847214422
59139745,6610.350943447788,6610.350943447788
59147252,4927.154447237924,4927.154447237924
59203897,4217.945190425695,4147.4009880056165
59217168,4335.185163755007,4268.709219625197
59227850,4427.758156886449,4124.68404939566
59248100,6042.980328844622,4924.573182594875
59264752,5808.320293106529,4756.415556745784
59284945,5715.6659021711,5445.348891093072
59307188,4747.884607618448,4647.062880362659
59399085,5999.778149469635,3881.2685503803527
59563765,5085.079514935177,4834.856090320995
59576598,6309.589937622327,3878.9330550007794
59588318,4585.353682742087,4487.838384827339
59671837,6556.155445486564,6314.429154324802
59761876,4207.658078313875,4120.678728723341
59831881,5834.326407388078,5427.518350132724
59843598,5950.411823165227,4056.5924749776823
59858621,4374.888733871421,4175.9953344150135
59861747,6308.100524319571,5667.037264840952
59931597,5267.574862994232,3955.2863928303673
59964744,4200.113183561629,4200.113183561629
59967170,4201.768030651912,4136.423610631231
60079031,4422.57284082373,4055.622894639813
60176384,5188.144211756288,5095.681885977541
60181884,5527.757732021644,4532.953806911631
60268095,6675.196499561777,6203.820104160142
60320526,5630.175750834159,5238.963174368326
60338415,4860.1973559090575,4002.459589321258
60366153,5820.493955383169,4471.343885721502
60415039,5585.426351700734,4488.327538855386
60421364,6976.98788665868,6301.862401451688
60426141,4200.264863343609,4200.264863343609
60446047,5809.091713897504,4158.955373766455
60455711,4997.4570521548285,4244.000339088921
60481666,6149.730161920982,4650.309396014551
60494087,5322.911181754449,5118.75525372974
60528868,5509.142868976025,4103.283108801848
60548934,5732.723699433548,4678.377429349211
60566408,5777.781571550581,4105.092930525298
60747370,5324.123944478012,4766.640828978116
60754832,4930.77912977992,4930.77912977992
60954857,4202.891822926662,3979.1312802702023
60972742,4531.515181938973,4382.297335012885
60981605,5042.288433199255,4415.058759814433
60991422,4540.820055115329,4307.94776351127
61004321,5404.897036853737,4435.016719408039
61035937,6447.57709394766,6447.57709394766
61075459,5449.0213399125,3935.3452898828778
61078795,5411.857802998803,4997.168050416269
61101548,5228.630351900657,5196.569940374057
61131395,4479.227714906317,4323.454257237234
61134074,5731.161200498524,5457.553193855865
61177242,5477.13754552507,3955.3788598975784
61206856,5828.535690919565,4297.947254499325
61266622,4922.353797356698,4607.144772303217
61283324,5106.758826353292,4320.659075321132
61287596,5760.344442078196,5760.344442078196
61289428,6646.215832988238,6646.215832988238
61292346,4681.1133239212,4450.923641686735
61295651,5775.77366404951,5564.810585330968
61305990,5858.319611309636,4129.721869521959
61310851,6432.43594069768,5659.971232610289
61344862,6246.245664785512,6246.245664785512
61361917,5459.120621523579,4969.733055139828
61397638,4201.239256633969,4201.239256633969
61411625,4200.577421742987,4141.704536834837
61433512,5883.853371179083,5512.869553476366
61439777,4453.764224589398,4098.046564315981
61455395,6128.318547054814,5804.620519742756
61462844,6118.936203258754,6118.936203258754
61574897,4203.796060510293,4134.793071312913
61584914,5983.174199951585,5653.904926464883
61608915,5415.099143036416,4146.882991848098
61648094,4453.838445133932,4042.1246991586254
61667292,6999.996553708358,4371.608029977945
61682523,5714.209572891316,5343.427933490901
61695354,4784.419343922534,4382.860307950918
61709323,4856.440172799028,4498.9305303269275
61727422,4200.125350033292,4200.125350033292
61763838,4200.453874310119,4200.453874310119
61775819,5972.939528739723,5515.358929579189
61822069,5397.200996973656,4074.611936330064
61834267,4888.285555830084,4394.353816072793
61841262,6846.91655410082,4758.120066536719
61843661,4565.142701952782,4565.142701952782
61863069,6462.055923667686,5806.599717231165
61868991,4289.622274166552,4120.528202283445
61887082,4532.864418398661,4270.955052948645
61897395,5319.12915185238,4125.098082332768
61944724,5925.580182395073,4386.444238589479
61961200,6452.802978570387,5132.454761275728
61992159,5592.904280114298,3912.2390130422173
62000839,6552.605081614996,6038.961153588454
62044783,4850.791276414528,4667.166862725029
62047922,5424.413729901367,4161.781654534624
62056236,5155.91493610677,4280.480525999216
62113691,6934.034494641468,6058.310344595686
62118956,5590.65598627364,3904.217186718767
62129972,4727.477404170865,4319.738686558861
62132383,5731.041516631229,5244.305580453367
62134853,5777.792845396465,4451.226130596853
62143534,5028.542738482054,4360.150830197035
62165222,4200.128894419715,4129.577722422573
62167116,6410.707026620616,6410.707026620616
62201155,5493.600634167944,5493.600634167944
62215647,6986.3596480151,6717.237586325851
62218252,6491.016520589925,5124.354974150872
62243511,5370.0392166373695,5370.0392166373695
62259107,4200.011212372398,3946.2437529331905
62330824,6254.940915599714,6020.826182421331
62341520,5935.37741881302,3939.8607375571182
62378878,4898.603872761691,4014.9665033153083
62403594,4503.310434141275,4387.997932354455
62416483,6317.585751081866,5027.595672903279
62433177,5329.28026206089,4884.27183755223
62481509,5910.506439338108,5501.123084155234
62511564,4200.045748840674,4200.045748840674
62639449,6197.744026043003,6197.744026043003
62662630,5033.81664919904,5033.81664919904
62685545,5818.449172803374,5447.8338412076155
62706381,5177.89699070396,4042.2128940109847
62808117,6855.970970692516,5717.838477090578
62889968,5218.584654082385,4820.913374317304
62892620,4653.839775270196,4336.44308423362
62946176,6692.163021986411,5838.930774815766
62976549,5919.555433850383,4203.668882805527
63227790,6288.1235720976565,6288.1235720976565
63300703,5786.062904082403,5129.26216583368
63770983,5759.927465666211,4831.480451775422
63839102,6964.703975974513,6151.461242904239
