sdss_id,n_visits,delta_chi2_23,f_imp_23,q2_triple,q3_triple,outer_component,v1_triple,v2_triple,v3_triple,inner_corr,q_inner_dyn,vetted,vision_triple,double_vetted,fail
61216255,5,8710.227648947752,0.2132127780818065,0.8348025792763621,0.1568145967587178,1,10.30;-9.06;0.32;0.18;-0.59,4.19;4.20;9.67;9.90;9.44,79.93;101.13;-58.85;73.54;-57.39,-0.045,1.952,False,True,False,V3
90392889,3,23568.454959284296,0.2128743142239132,0.5156002188896124,0.681657196737857,0,7.73;10.81;6.97,-49.14;59.48;-35.15,79.31;-58.32;64.56,-1.0,0.782,True,True,True,
60496687,3,7539.562294960953,0.1986857542075026,0.5947896366757679,0.2217585115357895,0,-8.85;-8.63;-8.31,-0.55;10.12;16.93,-61.39;-80.71;82.62,0.726,,False,True,False,"V3,V4"
94876239,3,86382.13809838891,0.5214177168453136,0.8427940671476253,0.4979571127733995,0,28.32;22.97;27.75,-37.58;38.23;-29.74,31.97;20.76;33.07,-0.985,6.215,False,True,False,V4
62028423,3,124348.68690612324,0.4505827926906188,0.978840724760183,0.9772620908582484,1,16.81;-41.13;7.01,15.46;15.90;12.17,-114.94;4.41;-124.38,-0.975,0.443,True,True,True,
69044978,4,13735.26197845224,0.2948674954267068,0.7909176071225636,0.2566537392733027,0,3.49;0.72;0.73;0.58,-5.42;23.72;23.67;23.52,96.74;103.11;-91.15;78.58,-0.36,0.435,False,True,False,V3
74688109,3,30139.754898252693,0.4099779255672527,0.7882855386780783,0.8167505271789443,2,-44.00;-19.65;-11.07,-16.83;-48.12;-41.45,-27.66;-37.15;-27.19,-0.897,1.155,True,False,False,
58724111,4,16787.93593488059,0.2968990171880463,0.6780102671202747,0.5593664653376512,0,13.47;12.99;15.02;16.96,-20.40;4.72;28.16;-27.82,-5.31;3.43;-10.34;10.26,-0.657,4.235,False,False,False,V4
87204705,3,5647.655542010507,0.2120183186625275,0.9899995898070494,0.1000980555776337,0,-11.10;-19.60;-13.65,2.40;-43.69;-35.93,37.65;-38.02;4.31,0.907,,False,False,False,"V3,V4,V6"
70693862,4,20890.225538599538,0.3206491707932299,0.9747166486178518,0.3762471171295871,0,24.85;20.89;24.72;20.09,44.66;18.34;44.55;17.76,102.40;35.97;-54.42;23.16,-0.046,5.198,False,False,False,"V3,V4"
61305990,4,3898.684228705679,0.1713225858023182,0.4732809095579983,0.98555,0,3.96;1.62;1.46;1.76,-16.58;13.28;13.46;16.59,-14.54;14.04;12.62;10.67,0.981,,False,False,False,"V3,V4,V6"
60623656,4,5184.390801966903,0.2308680418228731,0.9068824406770876,0.2096170583548868,0,-1.38;-6.54;-7.68;-7.19,19.66;41.29;19.63;31.69,-92.46;-13.17;90.52;1.89,-0.065,2.146,False,True,False,V3
59966826,3,14336.569100568197,0.2494722189471755,0.9106501480053244,0.8701659844159068,0,-11.71;-16.08;-12.34,-33.18;-38.67;-20.44,-27.11;18.21;10.86,0.074,,False,False,False,"V3,V4"
59837858,4,3476.0045064107107,0.1808447732144682,0.6503183625069713,0.1195019634614498,1,10.58;-0.06;10.93;0.45,4.98;2.01;2.48;0.56,40.01;-19.19;14.14;5.31,0.807,,False,False,False,"V3,V4"
94779499,3,7334.706823987333,0.2764056769741225,0.9680260732068878,0.2161716176202056,2,12.04;-20.14;19.54,11.42;-0.05;33.73,85.55;82.93;88.55,0.864,,False,False,False,"V3,V4"
56198262,3,384117.0983342265,0.5491173296635472,0.5716980447932465,0.7114263602138968,0,-30.01;-28.66;-29.35,-37.53;-56.54;5.82,-24.61;74.18;-36.57,-0.798,0.659,True,True,True,
59132356,3,9522.053029735122,0.3726084964104831,0.8748951762861412,0.1013217731317676,2,-1.20;-11.94;-11.47,-7.80;52.65;-15.99,-7.43;-8.93;-14.56,-0.438,0.37,False,False,False,"V3,V6"
87029355,3,8525.735327383249,0.2751411989353878,0.7624673640279165,0.2790406873853332,0,-16.42;-24.03;-20.58,-38.13;-33.38;2.42,-39.90;39.44;16.98,0.345,,False,False,False,"V3,V4"
61653879,8,121875.88401018344,0.426447805705243,0.842751512675137,0.1203987617642852,0,12.33;5.95;11.29;7.39;12.34;5.80;5.68;5.98,-58.82;45.58;8.54;15.80;52.55;45.46;44.95;45.75,9.94;57.21;-14.15;30.63;79.21;9.20;53.51;-35.66,0.295,,False,False,False,"V3,V4"
