alpha,rep,twin,sdss_id,K1,n_ep,loglike
0.10,0,1,55921437,17.8965,11,-23.7658;-23.8000;-23.8275;-23.7219;-23.8041;-23.7828;-23.7409;-23.8348;-23.8402;-23.7103;-23.9078;-23.6566;-23.8164;-23.8204;-23.8915;-23.7710;-23.5893;-23.7643;-23.8746;-23.6981;-23.6234;-23.8905;-23.9971;-24.0077;-24.0061;-23.8983;-23.8659;-23.9130;-23.9706;-23.9718;-23.8947;-23.8241;-23.4624;-23.5605;-23.2530;-22.8704
0.10,0,1,55936104,28.0751,16,-89.2981;-83.1351;-82.3434;-80.8763;-79.4391;-85.3995;-82.1146;-85.1040;-82.4652;-80.7153;-91.4999;-82.8744;-88.6162;-77.2927;-75.8506;-83.1007;-82.3425;-74.4726;-85.9423;-88.3326;-84.0392;-82.4467;-94.6359;-59.2700;-87.7178;-42.4121;-61.1341;-74.9427;-66.1942;-58.0842;-64.7945;-66.5545;-71.3918;-67.5284;-59.8938;-34.2372
0.10,0,0,55938293,38.5403,14,-213.7834;-145.6080;-195.0250;-143.8824;-132.2892;-182.4492;-209.2778;-208.1578;-126.7675;-167.0860;-122.4918;-131.3464;-166.7587;-147.2120;-238.0978;-169.9486;-184.9688;-155.4646;-103.4316;-225.3759;-211.0197;-256.6415;-220.6327;-260.2793;-287.5489;-260.3179;-206.6487;-249.4641;-288.2115;-227.9606;-173.9525;-168.0691;-169.6225;-200.1715;-221.6675;-183.0395
0.10,0,1,55938569,24.8255,14,-157.3103;-166.9668;-132.5724;-148.3692;-155.1681;-145.1061;-156.1228;-150.0256;-161.8686;-134.7979;-159.6386;-139.9316;-154.0692;-151.8251;-147.7788;-176.1639;-98.1016;-88.1646;-107.2529;-90.5865;-118.7083;-105.0176;-126.8117;-121.7307;-99.6478;-124.6975;-98.4142;-149.2633;-179.9198;-145.0596;-164.2874;-142.0027;-140.7223;-147.9950;-137.7404;-163.4566
0.10,0,1,55938734,14.2731,10,-19.4040;-19.4657;-19.4620;-19.5239;-19.4179;-19.3764;-19.4647;-19.4009;-19.4182;-19.4112;-19.2508;-19.3419;-19.3774;-19.3883;-19.3358;-19.4020;-19.4005;-19.3724;-19.4553;-19.3925;-19.2852;-19.2517;-19.3151;-19.3439;-19.2555;-19.3552;-19.2296;-19.1741;-19.1478;-19.1042;-18.9102;-18.8522;-18.6092;-18.5525;-18.2045;-17.9591
0.10,0,0,55938881,23.9174,16,-249.8850;-148.7017;-398.2408;-226.7353;-380.0255;-334.6162;-236.9320;-242.8021;-244.6433;-258.5880;-138.7619;-312.1761;-326.3140;-133.6571;-285.6467;-174.1431;-201.1831;-333.1251;-274.8296;-361.4931;-356.9710;-342.7775;-282.8505;-286.9535;-416.0772;-273.8884;-458.7146;-375.3315;-475.0605;-460.3581;-564.4663;-482.2872;-452.3759;-385.6346;-464.7654;-436.8860
0.10,0,1,55940396,43.3522,16,-527.2919;-481.7143;-430.3500;-563.9613;-402.9898;-614.6515;-539.3338;-560.3786;-418.9054;-484.1290;-386.5122;-463.9131;-450.6967;-402.9207;-487.2406;-458.6164;-425.0446;-521.8132;-370.2785;-410.0602;-479.1560;-385.8548;-276.3057;-127.8247;-432.5323;-437.3133;-397.6657;-450.5773;-464.7089;-477.6790;-524.4523;-430.8187;-600.4727;-581.3515;-494.8046;-502.0382
0.10,0,1,56124587,15.2559,16,-79.4477;-89.4147;-79.5981;-66.6291;-75.3709;-88.2365;-71.8012;-80.6643;-88.1204;-89.7639;-82.5324;-98.5873;-70.7296;-69.1747;-75.8733;-71.3257;-96.4202;-92.9550;-70.6314;-82.9257;-95.6416;-92.2326;-101.6816;-82.6384;-95.3305;-90.2853;-81.8056;-99.0384;-61.7583;-98.3503;-97.0532;-104.9983;-98.7453;-102.5562;-86.2239;-109.7309
0.10,0,0,56366535,25.0029,15,-40.6216;-40.9480;-41.5676;-40.2255;-40.8672;-42.1184;-40.3266;-40.5060;-42.0158;-41.3815;-40.7151;-40.2391;-41.1087;-41.3470;-40.6656;-43.4363;-41.2676;-42.0855;-43.4066;-43.2207;-42.7334;-44.6149;-44.9477;-42.4654;-41.0486;-36.8189;-38.8726;-33.8504;-37.3305;-35.0532;-34.8020;-34.8629;-36.4437;-37.2638;-33.9945;-41.0480
0.10,0,1,56446960,49.6827,10,-171.0565;-158.1645;-166.5520;-190.3704;-168.6666;-193.3328;-171.8527;-195.1247;-165.2904;-174.1766;-165.3228;-164.8627;-162.1337;-171.5244;-156.4670;-131.4830;-158.0559;-127.8404;-127.6022;-128.7750;-128.8483;-121.8133;-89.1231;-87.4303;-71.3036;-54.9982;-123.8705;-73.1547;-26.7597;-70.3416;-113.0199;-110.7338;-104.4995;-92.4512;-79.3149;-124.4690
0.10,0,0,56452216,46.6500,12,-54.8866;-37.4522;-48.0124;-50.6405;-34.9910;-48.0303;-46.5441;-49.8772;-45.4919;-35.0823;-41.6197;-49.7008;-50.8253;-50.0248;-43.6553;-35.4907;-42.2214;-51.1825;-45.1863;-44.8570;-41.3241;-37.3789;-37.2433;-44.6471;-46.6261;-38.7689;-61.4175;-43.6741;-47.2583;-51.3298;-41.3212;-40.3189;-55.3110;-55.7403;-44.8587;-52.9175
0.10,0,0,56455398,50.5674,8,-31.2102;-27.4871;-26.6460;-28.6348;-30.0358;-26.8493;-29.0604;-26.6474;-30.4487;-25.7103;-25.4144;-27.2832;-29.8908;-28.1339;-32.2430;-30.4046;-27.4425;-31.5544;-29.3820;-30.5065;-28.4430;-24.8373;-30.4913;-25.8518;-24.3571;-27.1021;-29.7960;-28.0135;-30.2571;-28.8747;-26.1458;-26.6806;-24.5243;-30.8683;-23.5167;-29.2525
0.10,0,0,56456401,40.4851,11,-41.7437;-33.6242;-40.9008;-36.2880;-40.4867;-40.6989;-43.2622;-42.2059;-41.2070;-30.2113;-41.8735;-37.6294;-44.0228;-44.7139;-47.5955;-48.8469;-43.5324;-41.4494;-46.4401;-37.8850;-46.5447;-31.6628;-34.3151;-42.6069;-39.3532;-36.1884;-46.4825;-36.8155;-41.8143;-45.5893;-34.1933;-46.4957;-44.4620;-52.7859;-41.4224;-56.8881
0.10,0,1,56470578,19.3566,10,-24.4765;-24.0596;-24.2126;-23.7586;-24.6813;-24.2961;-24.4658;-24.3297;-24.0397;-25.0102;-24.0213;-24.6657;-24.2676;-24.0054;-24.1796;-23.9399;-24.5368;-24.0111;-24.8463;-24.0357;-23.7214;-23.5784;-23.9461;-24.0262;-23.8219;-23.5531;-23.8804;-23.4570;-23.8880;-23.5451;-23.5129;-23.6927;-23.1317;-23.0219;-22.7341;-22.7570
